"Government deficit and debt in the EU-countries by unit, function,"
"country and time"

" "," "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Mill. Euro (current prices)"
" ","Government EMU-surplus(+)/EMU-deficit(-)"
" "," ","Italy",1353569.3,1420026.6,1436141.8,1471325.7,1526400.5,1591580.6,1657334.2,1677649.8,1738647.0,1839232.6,1920625.3,1973467.5,2054753.0,2136229.5,2202999.1,2239409.8,2285705.0,2329931.7,2381640.4,2410322.8,2573538.9,2679901.4,2757547.4
" "," ","Croatia",8441.0,9661.3,10397.5,11622.3,13210.7,15124.7,15534.8,16488.4,18559.3,22096.9,25790.4,28518.7,30747.0,35386.3,36741.7,37534.5,37575.8,38365.9,38664.6,39415.7,43780.8,45743.6,46334.0
" "," ","Latvia",1011.0,1304.4,1251.5,1410.2,1628.6,1638.8,1736.5,1935.1,4511.3,6957.0,8537.7,8948.5,9364.1,9172.0,9817.9,9089.1,10224.1,10492.6,10784.0,11209.1,12710.6,14688.4,15948.2
" "," ","Lithuania",2912.1,3185.2,3365.7,3395.1,3404.5,3701.9,4151.9,4609.7,4762.1,7528.5,10150.9,11629.3,13264.1,13550.8,14827.6,15880.8,15446.7,16540.3,15321.7,17526.1,23062.5,24535.5,25672.4
" "," ","Luxembourg",1722.6,1820.4,1862.8,1949.9,2207.2,2407.4,2804.1,3045.9,5852.4,5969.0,8094.5,8201.2,9700.3,10997.5,11316.6,11432.2,11010.3,12675.5,12567.6,13960.9,15875.8,17731.2,19175.3
" "," ","Malta",2654.0,2989.2,2927.3,3267.4,3449.6,3606.4,3472.9,3584.6,3837.0,4152.7,4462.5,4848.3,4907.4,5278.4,5433.3,5623.1,5769.7,5705.4,5662.1,5720.3,6974.7,8263.9,9000.5
" "," ","Netherlands",235879.0,238681.0,244916.0,256483.0,266332.0,274277.0,264157.0,266221.0,354036.0,354763.0,378762.0,401303.0,432462.0,447082.0,455886.0,446144.0,438532.0,420440.0,405899.0,394825.0,435475.0,449659.0,480548.0
" "," ","Poland",70735.4,83306.4,84224.1,83894.0,103059.1,119592.0,131958.8,147052.7,144651.7,166538.0,194894.8,192144.5,216868.9,224119.6,204509.3,216566.3,229014.4,241130.0,240804.6,245729.6,293124.1,306839.2,323054.6
" "," ","Portugal",69591.8,77908.0,85594.9,93333.4,102157.9,114552.9,122499.7,127625.5,135477.9,154014.0,179996.0,201459.4,217160.3,224077.6,230058.8,235746.1,245244.8,247174.5,249260.5,249977.5,270494.9,269089.0,272435.3
" "," ","Romania",7532.8,10917.2,10757.1,10309.5,11768.7,12397.6,12585.6,14099.4,16555.6,27295.7,36728.8,43937.9,49445.7,53429.3,58489.2,59494.1,62788.8,64555.9,70848.4,78095.7,102630.3,116641.9,134469.0
" "," ","Slovakia",10953.5,12369.5,12274.1,13125.0,14977.1,13945.3,15496.2,17194.1,19616.1,23305.7,27928.8,30979.9,38098.1,40742.0,40844.0,41413.4,42481.3,43572.4,44405.3,45305.6,54992.9,61237.8,63378.0
" "," ","Slovenia",5483.6,6035.5,6707.8,6943.8,7427.5,7690.1,8201.5,8013.6,8262.5,12517.5,13916.2,17216.6,19417.7,25520.1,30219.9,32087.4,31756.0,31893.0,32246.3,31752.4,37424.3,38878.5,41241.6
" "," ","Spain",374557.0,378883.0,384145.0,382775.0,389888.0,393479.0,392132.0,384662.0,440621.0,569535.0,649153.0,743043.0,927813.0,1025655.0,1084846.0,1113661.0,1145050.0,1183412.0,1208861.0,1223355.0,1345786.0,1428133.0,1502804.0
" "," ","Sweden",137290.4,139698.4,141390.6,146709.7,152019.2,152005.1,150536.4,136790.5,117708.1,132747.7,151873.4,155456.0,163584.7,173692.4,191307.6,202759.8,195264.7,194607.1,186321.6,171978.5,200526.7,195204.5,176776.5
" "," ","Czech Republic",11567.8,18322.2,22013.9,24530.7,28673.0,31385.6,35405.0,39606.2,42298.6,49824.4,59059.8,62576.1,71778.7,67096.2,65581.0,67943.9,64939.8,68520.7,67431.3,68492.7,81922.9,103255.7,124299.8
" "," ","Germany",1251530.5,1264266.9,1317679.6,1405194.6,1475183.2,1545669.5,1595311.5,1603669.1,1672576.3,1789213.3,2102672.3,2139149.2,2216704.5,2201917.7,2203742.6,2177230.8,2161570.5,2130325.0,2083675.3,2069889.2,2340848.9,2495538.2,2561675.4
" "," ","Hungary",28008.4,32818.1,41007.4,42348.3,50505.1,54075.6,62298.8,66503.3,73317.3,76528.1,79114.5,72881.6,77530.7,78882.3,79575.8,83833.8,87470.1,91265.8,93372.4,94233.4,105468.0,114630.7,121820.6
" "," ","Austria",141245.5,147154.2,151295.9,152688.1,157985.4,174403.5,180270.0,184674.5,201809.9,230014.6,244696.8,255683.8,261040.8,263229.5,280001.0,292264.6,296244.5,289951.3,285421.8,280540.4,315980.9,334284.0,350698.4
" "," ","Euro area-20",4866751.7,5021546.2,5187943.7,5441837.9,5700347.7,5964844.6,6103914.7,6216821.5,6727816.8,7470838.5,8199989.0,8615153.8,8987822.2,9280195.7,9515049.9,9645583.8,9822445.6,9928487.5,10030129.3,10122325.9,11190510.7,11817241.6,12263034.0

